epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,epoch_time_seconds
1,0.9345328514916557,0.6242857142857143,0.6157296764209603,0.6242857142857143,0.6188305631063098,0.7277560377120972,0.73,0.7526753454026984,0.73,0.7360507798417512,128.74449586868286
2,0.6020061593396323,0.7642857142857142,0.7613786220612832,0.7642857142857143,0.7617025981858667,0.6004924863576889,0.75625,0.7708511084966096,0.75625,0.757188456831059,133.30066990852356
3,0.5316939577034542,0.7892857142857143,0.7866677303767029,0.7892857142857143,0.7876488992961583,0.5223290023207664,0.78,0.8015119336699356,0.7799999999999999,0.7599794548148826,153.37532305717468
4,0.41992319072995865,0.835,0.8325245879108324,0.835,0.8333227503315356,0.40529328390955927,0.845,0.8707231231387528,0.8450000000000001,0.8464556587075504,149.34259366989136
5,0.3387859950746809,0.8735714285714286,0.8727170630837457,0.8735714285714287,0.8729747051755682,0.3244154138863087,0.85875,0.856797258477551,0.85875,0.8547058225638998,145.1742341518402
6,0.31023653958524977,0.8835714285714286,0.8830799319344977,0.8835714285714286,0.8829844188734255,0.3389853521808982,0.85,0.8547646768189179,0.85,0.8488536400758371,149.54363107681274
7,0.2757560534988131,0.8932142857142857,0.8927545371095148,0.8932142857142857,0.8927128810555451,0.36065913042984904,0.875,0.8738201957348962,0.875,0.8721831897005735,146.2621350288391
8,0.2757517577069146,0.8921428571428571,0.8917631451251948,0.8921428571428571,0.891880186897739,0.48845680013298987,0.81,0.8228309363578941,0.81,0.8010460413564757,157.34718489646912
9,0.18874057139669145,0.9310714285714285,0.9310811316086665,0.9310714285714285,0.9309001293076928,0.3947204383206554,0.85,0.8489985459148455,0.8500000000000001,0.8481909310960555,142.45007610321045
10,0.2108243840081351,0.9153571428571429,0.9154544302763234,0.9153571428571429,0.9152369361294603,0.2685761453211308,0.895,0.9020550599103729,0.895,0.8956274423693595,143.56845116615295
